ID,Topic,Subtopic,Question,Answer
,Online Grocery FAQs,Managing my account,Unsubscribing from mailing lists,"To unsubscribe from Tesco emails, log in to your account on tesco.com. Select ‘My account’, then select ‘Marketing communications’ under ‘Settings’. Select the appropriate box and ‘Save changes’."
,Online Grocery FAQs,Managing my account,Updating my details,"To update your personal details, log in to your account on the website and select ‘My account’. Under ‘My details’, you’ll see a list of information you can view and update. Select the details you want to amend and follow the simple on-screen instructions.
If you’re changing your home address, your new address details will be saved as your ‘home address’ in your address book. Please make sure you select the correct address from your address book menu when you check out any orders.
Please be aware that you can’t change a delivery address or preferred Click+Collect store when your order is already due. You’ll need to wait until the order has been delivered or is due for collection before updating these details. If you really need to change the delivery address or preferred Click+Collect store, please cancel the order within the cut-off time and create a new one. We’ll save the cancelled order in ‘Previous orders’ in your favourites section. Find your cancelled order there, then add all the products to your new basket.
Your Clubcard details won't automatically be updated with the changes you make here, so make sure you update your details on the Clubcard website.
"
,Online Grocery FAQs,Managing my account,Changing an existing password,"To change your password, log in to your account on the website. Select ‘My account’, then select ‘Change password’'. Type in your current password, then choose your new password. Re-enter new password and select ‘Save changes’."
,Online Grocery FAQs,Managing my account,Forgotten password,"If you're having trouble logging in and get the error message ""Unfortunately we do not recognise those details"", this means the information you have provided does not match what we have for your account. Please double check your email address and password are correct.
If your email address is correct but you're not sure about the password, click ""I've forgotten my password"" and re-enter your email address to send a link straight to your inbox to reset your password. It may go into junk/spam folders.
"
,Online Grocery FAQs,Managing my account,I'm told my email's not registered when I request a password reset,"This means that we don’t have an account with that email address registered. If you think you’ve registered before, try a different email address. If that doesn’t work, register for a new account or you can contact our Clubcard team."
,Online Grocery FAQs,eCDNs – electronic customer delivery notes,Switching from Paper to Email Receipts,"To reduce paper use, we're sending out electronic delivery notes with your usual order summary email. This means you can see changes to your order before it's delivered. You may continue to get a paper delivery note from your driver until email receipts are available from the store you order from. The email receipt will only be sent to the registered email account of the person placing the order."
,Online Grocery FAQs,eCDNs – electronic customer delivery notes,I haven't received my eCDN,"Email receipts are sent after payment has been taken for your order. If your order is in the evening, we would expect the receipt to arrive in your inbox close to your slot starting. Sometimes email providers can send our emails to junk/spam folders, so be sure to check all folders in your inbox.
We also offer digital receipts in the Tesco Grocery & Clubcard app if you already receive email receipts.
If you haven't received your email receipt after 24 hours, and it’s not in the app, please visit our “Contact us” page for further assistance.
"
,Online Grocery FAQs,eCDNs – electronic customer delivery notes,Unwanted substitutions on eCDNs and why we have to deliver them,"No, you won’t be able to cancel the item. If you don’t want a substitution, wait for your delivery and return the item to your driver for a refund. Please be assured, you’ll never be charged extra for a substitution, even if it’s more expensive than the product you chose."
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Minimum unit pricing,"The Minimum Unit Price sets a price point below which a unit of alcohol cannot legally be sold by retailers in Scotland or Wales. It has been implemented by the Scottish and Welsh Governments to reduce alcohol consumption and related harm.
This means that some alcoholic beverages are priced higher in Scotland and Wales than elsewhere in the UK because retailers are legally required to price alcoholic beverages above the Minimum Unit Price threshold.
"
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Tesco prices compared with other retailers,"The Scottish Government introduced Minimum Unit Pricing into legislation to reduce alcohol-related harm. This means from 2 March 2020 all retailers are legally required to follow the Minimum Unit Pricing legislation on alcohol. Wherever possible, our prices will remain competitive, and we will continue to focus on offering quality products. Visit mygov.scot for more information.

"
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Products with no price increases,"Some alcohol products were already priced above the minimum threshold, so no further increase was necessary to fall in line with the Minimum Unit Pricing."
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Why large beer and cider packs are no longer available,"The decision was taken to remove large packs of beer and cider from the Scottish and Welsh ranges because the minimum price of large packs would make them much more expensive for customers. Instead, we have introduced mid-sized packs, so the entry price is lower."
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Calculating minimum unit pricing,"The formula used to calculate minimum unit pricing is, price per unit of alcohol (£) x strength of alcoholic drink (ABV) x volume of alcoholic drink (L) = £. Where it’s not a whole number, any calculations must be rounded up to the nearest penny, as rounding down would make it below Minimum Unit Pricing. You can check this Minimum Unit Pricing calculator for more details.
More details are available on the Welsh Government website.
"
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Why only certain prices have increased,"We have only increased the prices of alcohol products that were below the Minimum Unit Pricing, as required by law. When you receive your delivery or collect your order, if you're unhappy with any price increase on top of your item’s original guide price, you may refuse the item and we'll provide a full refund for that item."
,Online Grocery FAQs,Alcohol rules and regulations in Scotland and Wales,Minimum unit pricing for the rest of the UK,Minimum Unit Pricing rules have now been introduced by the Governments of Scotland and Wales. We are not currently aware of any plans to introduce Minimum Unit Pricing elsewhere in the UK.
,Online Grocery FAQs,Oban islands orders,How to order,"The booking process is slightly different when ordering from the Oban islands. To access these slots, please follow the instructions below:
Go to our slot booking page and choose Click+Collect.
Please choose an available slot at the location ‘Oban Islands Click+Collect THIRD PARTY’.
This order will need to be collected from the Oban Tesco store. Please arrange for this to be delivered to your home, by separately arranging onward delivery with a third party courier.
Where you arrange a third party courier to collect the order from the Oban Tesco store:
Please see the relevant third party website for delivery dates to your location and select the day before you require the order, as there will likely be a 1-day delay.
Please add the courier company and driver’s name in the collection instructions box.
If you're collecting in person, please book a Click+Collect slot via the Oban Superstore location.
"
,Online Grocery FAQs,Oban islands orders,Delivery charges,"Where you're arranging delivery with a third party courier company, you’ll need to pay their delivery charge. However, Tesco won't charge you for picking and packing your order."
,Online Grocery FAQs,Oban islands orders,Terms and conditions,"If you arrange for someone else, such as a third party courier, to collect your shopping for you, Tesco doesn’t accept any liability for the transport of your shopping once it’s been collected from us. By making your order and nominating a third party to collect it, you’re confirming that you agree to us handing over your shopping to your named third party, who will complete the onward delivery for you."
,Online Grocery FAQs,Product specific information,Temporary sunflower oil changes,"The war in Ukraine has affected supplies of sunflower oil. To allow food products made with sunflower oil to remain on sale, the Food Standards Agency (FSA) and Food Standards Scotland (FSS) have advised producers to replace sunflower oil with other vegetable oils, such as refined rapeseed oil, without changing labels.
The FSA/FSS have advised that allergic reactions to rapeseed oil are very rare.
We are changing our labels as quickly as possible but some foods products which usually contain sunflower oil may instead contain refined rapeseed oil.
Further advice is available on: FSA Advice on Sunflower Oil and FSS Advice on Sunflower Oil. These changes will come into effect immediately.
"
,Online Grocery FAQs,Product specific information,How to know which products have had sunflower oil replaced,"We have a range of products that contain sunflower oil as an ingredient, so it’s not possible to provide details of individual ingredient changes. We will update Tesco own-brand labels as soon as possible to indicate any change in vegetable oil or nutrient content of a product. For branded products, please contact the manufacturer for more information."
,Online Grocery FAQs,Product specific information,Products that still contain sunflower oil,"Some longer shelf-life products will contain sunflower oil for some time. Once sunflower oil is no longer available, it will be replaced by rapeseed oil or an alternate vegetable oil."
,Online Grocery FAQs,Product specific information,Nutritional effects of replacing sunflower oil,"For most products, there will be very little difference in the nutrient content of sunflower oil or rapeseed oil. If other vegetable oils richer in saturated fat are used, we will update our labels to reflect any change in nutrient content of the product as soon as possible."
,Online Grocery FAQs,Product specific information,Safety and allergy issues of replacing sunflower oil,"The FSA/FSS have reviewed the food safety risk of substituting sunflower oil with refined rapeseed oil and confirmed it’s very low. They have advised that allergic reactions to rapeseed oil are very rare and, if they do occur, are mild.
Customer safety is very important to us, and we will comply with all food safety guidelines. Allergens will always be clearly highlighted in bold on the label of Tesco own-brand foods. If the allergens in a product change, we will always update the ingredients list and add an ’Allergy Update’ logo to the front label.
"
,Online Grocery FAQs,Product specific information,Updating labels when products have sunflower oil replaced,"In line with the Food Standards Agency/Food Standards Scotland (FSA/FSS) and DEFRA recommendations, we’ll be making customers aware of the changes to sunflower oil in-store and online.
Where it’s not possible to change the ingredients lists on labels immediately to indicate the presence of rapeseed oil, you may instead see ’Rapeseed Oil’ printed on the packaging. We will update our labels as soon as possible.
"
,Online Grocery FAQs,Product specific information,Changes to Luxury Soft 9-pack toilet rolls,We've changed our Tesco Luxury Soft 9-pack toilet rolls to 6-pack long rolls. This means there's 50% more sheets per roll and reduced packaging. You'll still get the same number of sheets as the previous 9-pack and the same great value.
,Online Grocery FAQs,Ratings and reviews,Approval and publishing process,The process for reviews to be published generally takes between 2 to 4 working days. Please refer to our Terms and conditions.
,Online Grocery FAQs,Ratings and reviews,Publishing rules,"Reviews which aren’t following the below review guidelines will not be published:
Personal information. Never include home addresses, email addresses or phone numbers.
Any offensive or discriminatory language.
Information about other websites or companies.
Information about price (because prices might change over time)
Customer service issues – please contact our Customer Service team with these.
Please also refer to the Terms and conditions page for content agreement between Customers and Tesco.
"
,Online Grocery FAQs,Ratings and reviews,Deleting my review,"If you’ve shared reviews on our websites, you’ll be able to see a delete link below your review. We’ll delete the review from the Tesco website after 2 hours."
,Online Grocery FAQs,Ratings and reviews,Reporting a review,"The report button below a review allows you to report any reviews you feel are inappropriate. This review will then be flagged and re-assessed. If it’s inappropriate, it’ll be removed from the website."
,Online Grocery FAQs,Ratings and reviews,Syndicated reviews,"These reviews are existing customer reviews submitted on supplier websites, which may be part of a promotion. They’re recognisable from the tag 'Review from' and the brand name.
These reviews can help you to make better informed decisions on your purchase.
"
,Online Grocery FAQs,Accessibility,"Accessibility online
","We try to make all of our websites and apps accessible for each and every one of our customers. Find out more on how we’re achieving this by visiting our accessibility page.

"
,Online Grocery FAQs,"Terms and conditions


","Full standard terms and conditions


","Please take a look at our full terms and conditions.
This Site is owned and operated by Tesco Stores Limited (company registration number 519500, VAT number GB220 4302 31), a company registered in England and Wales, whose registered office is at Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, AL7 1GA.
"
